eMolecules SMILES,eMolecules ID,MolWt,Hazardous,Supplier,Catalog,Catalog Num,Availability (mg),Price Code,Tier Number,Expected Delivery,CAS Number,Purity,Amount,Format,Units,Amount,Format,Units,Price
O=C(c1ccc(cc1)C(C)(C)C)Nc1sc2c(c1C(=O)N)CCCC2,639114,356.482,,Vitas M Labs,SC Tier 1,STK862110,128,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(Nc1sc2c(c1C(=O)N)CCCC2)/C=C/c1ccccc1,640814,326.413,,Life Chemicals,Tier 1,F0016-0676,559.8,General,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,400
Fc1ccc(cc1)Nc1ncnc2c1cc(s2)c1ccccc1,684258,321.371,,Enamine Screening Compounds,Screening Compounds,Z31201571,324,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
c1ccc(cc1)c1csc2c1c(ncn2)N1CCc2c(C1)cccc2,688047,343.445,,ChemDiv,Screening Compounds,D341-0349,142,NC,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,533
Fc1ccc(cc1)Nc1ncnc2c1c(cs2)c1ccccc1,688294,321.371,,Enamine Screening Compounds,Screening Compounds,Z31201550,2598.9,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
CCOC(=O)c1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)Cl,703997,327.762,,Vitas M Labs,SC Tier 1,STK049444,1059,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Clc1cc(Cl)c(c(c1)C(=O)Nc1ccc(c(c1)Cl)Cl)O,718480,351.012,,ChemDiv,Screening Compounds,0180-0344,690,DC,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,355
Nc1ncnc2c1cnn2c1ccccc1,719540,211.223,,Maybridge,Screening Compounds,RJC00689,3430,,1,Delivery within 2 weeks,5334-30-5,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
Brc1ccc2c(c1)cc(o2)C(=O)O,724767,241.038,,Vitas M Labs,SC Tier 1,STK319356,1221,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C.Cl,492822,355.325,,Enamine Screening Compounds,Screening Compounds,Z1259155914,50160.1,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F.Cl.Cl,2724817,510.443,,Enamine Screening Compounds,Screening Compounds,Z2784093501,,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
Cc1cc(C)c2c(n1)sc(c2N)C(=O)N,827004,221.279,,Vitas M Labs,SC Tier 1,STK725975,1070,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Nc1ncnc2c1c1CCCCc1s2,827097,205.279,,Vitas M Labs,SC Tier 1,STK271042,3114,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
Clc1ncnc2c1c(cn2c1ccccc1)c1ccccc1,831334,305.761,,Life Chemicals,Tier 1,F1386-0302,5601,General,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,400
COc1ccc(cc1)/C=C/1\SC(=O)NC1=O,832041,235.259,,Vitas M Labs,SC Tier 1,STK338390,289,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C1NC(=O)S/C/1=C/c1ccccc1,1976726,205.233,,Vitas M Labs,SC Tier 1,STL293366,1694,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
COc1cc(ccc1OC)c1csc(c1C(=O)OC(C)C)N,837243,321.391,,Vitas M Labs,SC Tier 1,STK348738,10117,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Nc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,840416,287.315,,ChemDiv,Screening Compounds,3720-2377F,,DC,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,355
NC(=O)c1cc(sc1N)c1ccccc1,859659,218.275,,Enamine Screening Compounds,Screening Compounds,Z56884070,19471.5,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,876432,446.902,,Vitas M Labs,SC Tier 1,STK621310,143,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(c(c1)Nc1nccc(n1)c1cccnc1)C,876446,493.603,,Enamine Screening Compounds,Screening Compounds,Z1551429727,,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
CC(=O)Nc1sc2c(c1C(=O)N)CCCC2,878115,238.306,,Vitas M Labs,SC Tier 1,STL289226,224,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,901322,354.185,,Vitas M Labs,SC Tier 1,STK594349,1026,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2.Cl,2726975,681.773,,Maybridge,Screening Compounds,RJC02270,349,,1,Delivery within 2 weeks,19774-82-4,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
Cc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F,901601,381.372,,Vitas M Labs,SC Tier 1,STL373576,1000,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1ccc(cc1)C(C)(C)C)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,901816,469.658,,Vitas M Labs,SC Tier 1,STK624411,1012,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=S(=O)(c1cccc2c1ccnc2)N1CCNCCC1,901874,291.369,,Enamine Screening Compounds,Screening Compounds,Z1160899500,,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
Oc1ccc2c(c1)sc(c2C(=O)c1ccc(cc1)OCCN1CCCCC1)c1ccc(cc1)O.Cl,594043,510.044,,UORSY,Screening Compounds - Tier 1,PB1172064438,,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,249
CNC(=O)c1nccc(c1)Oc1ccc(cc1)NC(=O)Nc1ccc(c(c1)C(F)(F)F)Cl,902486,464.825,,Enamine Screening Compounds,Screening Compounds,Z89277543,,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
CCc1nc2sc(c(c2c(=O)n1N)C)C,1021824,223.295,,Vitas M Labs,SC Tier 1,STK279711,5825,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
Clc1ccc(cc1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1022286,334.82,,Life Chemicals,Tier 1,F0016-0657,216,General,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,400
COc1cccc(c1)Nc1ncnc2c1cc(OC)c(c2)OC,1026999,311.335,,Maybridge,Screening Compounds,GK03503,8511,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,
CCCc1c(cnn1c1ccccc1)C(=O)Nc1cc(ccc1C)S(=O)(=O)N(C)C,1030591,426.532,,Maybridge,Screening Compounds,HTS06221,3918,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
O=C1N(CNc2ccc(cc2)N2CCOCC2)C(=O)c2c1cccc2,1067536,337.372,,Maybridge,Screening Compounds,S04546,18125,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
O=C1NC(=O)S/C/1=C\c1ccc(cc1)F,1078483,223.224,,Vitas M Labs,SC Tier 1,STK044824,363,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
COc1ccc(cc1)OCC(=O)Nc1sc2c(c1C(=O)N)CCCC2,1088722,360.427,,Vitas M Labs,SC Tier 1,STK355704,135,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1ccc(cc1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1090098,330.401,,Vitas M Labs,SC Tier 1,STK000651,153,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(Nc1sc2c(c1C(=O)N)CCCC2)Cc1ccccc1,1108650,314.402,,Vitas M Labs,SC Tier 1,STK064662,153,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
NC(=O)c1sc2c(c1N)c(cc(n2)c1ccccc1)c1ccco1,1129902,335.38,,Enamine Screening Compounds,Screening Compounds,Z57195671,175.8,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
COc1ccc(cc1)NC(=O)/C=C/c1ccccc1,1155596,253.296,,Vitas M Labs,SC Tier 1,STK414174,100,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(Nc1nc2c(s1)cccc2)Cc1ccccc1,1171893,268.334,,Vitas M Labs,SC Tier 1,STK414477,574,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1ccc2c(c1)OCO2)Nc1sc2c(c1C(=O)N)CCCC2,1178116,344.385,,Vitas M Labs,SC Tier 1,STK247069,227,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,
c1ccc(cc1)n1cnc2c1cccc2,1202048,194.232,,Vitas M Labs,SC Tier 1,STK325727,188,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=c1[nH]cnc2c1c(cs2)c1cccs1,1210593,234.297,,Enamine Screening Compounds,Screening Compounds,Z56884045,48457.6,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
Fc1ccccc1C(=O)N1CCC(CC1)Cc1ccccc1,1214596,297.367,,Vitas M Labs,SC Tier 1,STK183068,104,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1cccs1)Nc1nnc(s1)Cc1ccccc1,1228629,301.387,,Enamine Screening Compounds,Screening Compounds,Z27474679,379,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
Clc1ccc(cc1)Cn1c(S)nc2c1c(=O)[nH]c(=O)n2C,1242692,322.77,,Vitas M Labs,SC Tier 1,STK046762,107,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1cccnc1)Nc1sc2c(c1C(=O)N)CCCC2,1243518,301.363,,UORSY,Screening Compounds - Tier 1,PB27435900,1433.6,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,249
Brc1ccc(cc1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1243584,379.272,,Enamine Screening Compounds,Screening Compounds,Z27358423,1624.6,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
Cc1ccccc1C(=O)N1CCC(CC1)Cc1ccccc1,1260546,293.403,,Vitas M Labs,SC Tier 1,STK183090,132,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
CCOc1ccc(cc1)Nc1ncc(c(n1)Nc1ccc(cc1)OCC)F,1267281,368.405,,Vitas M Labs,SC Tier 1,STL416404,113,Advanced,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,219
Cc1cccc(c1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1278243,314.402,,Vitas M Labs,SC Tier 1,STK093139,438,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,
O=C(c1c(Cl)cccc1Cl)Nc1ccncc1,1284691,267.111,,Vitas M Labs,SC Tier 1,STK098832,385,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
CCC(=O)Nc1sc2c(c1C(=O)N)CCCC2,1289161,252.333,,Vitas M Labs,SC Tier 1,STL255939,122,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
c1ccc(cc1)CNc1ncnc2c1cccc2,1327878,235.284,,Enamine Screening Compounds,Screening Compounds,Z57161635,208.7,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
c1ccc(cc1)Nc1ncnc2c1cccc2.Cl,5639199,257.718,,Maybridge,Screening Compounds,DP00797,2124,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
FC(c1cccc(c1)Nc1ncnc2c1cccc2)(F)F,1327907,289.255,,ChemDiv,Screening Compounds,3232-0333,101,DC,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,355
Nc1ncnc2c1c1CCCCCc1s2,1339083,219.306,,Maybridge,Screening Compounds,SEW04081,4273,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,414
COc1ccc(cc1)c1nn(cc1C(=O)Nc1ccccc1)c1ccccc1,1356211,369.416,,UORSY,Screening Compounds - Tier 1,PB27860432,369.6,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,249
CCn1c(nc2c1cccc2)c1nonc1N,1360661,229.238,,Enamine Screening Compounds,Screening Compounds,Z1892061696,385.3,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
OC(=O)Cc1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)C,1367649,293.317,,Enamine Screening Compounds,Screening Compounds,Z57157353,232.1,Advanced_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,223
[nH]1cc2c(n1)c1[nH]c3c(c1CC2)cccc3,1368861,209.247,,ChemDiv,Screening Compounds,D090-0041,130,DC,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,
Cc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,1377874,315.311,,Vitas M Labs,SC Tier 1,STK053880,527,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1cccs1)Nc1ncc(s1)Cc1cccc(c1)C(F)(F)F,1406839,368.397,,Vitas M Labs,SC Tier 1,STK377145,140,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1ccc(cc1)Nc1nnc(c2c1cccc2)c1ccc(cc1)C(=O)N,1411040,370.404,,Vitas M Labs,SC Tier 1,STK009770,280,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1ccccc1CC(=O)Nc1nc2c(s1)cc(cc2)C,1412934,312.386,,Vitas M Labs,SC Tier 1,STK088237,266,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
OCCNc1ncnc2c1c(c1ccc(cc1)OC)c(o2)c1ccc(cc1)OC,1415746,391.42,,Vitas M Labs,SC Tier 1,STK090644,398,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
OCCNc1ncnc2c1c(c1ccccc1)c(o2)c1ccccc1,1415762,331.368,,Vitas M Labs,SC Tier 1,STK012643,159,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
CCOc1ccc2c(c1)sc(n2)NC(=O)Cc1ccc(cc1)OC,1421743,342.412,,Vitas M Labs,SC Tier 1,STK073321,724,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1cccc(c1)Nc1ncnc2c1cccc2.Cl,1865544,287.744,,Enamine Screening Compounds,Screening Compounds,Z220564816,119.7,HTS_Collection,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,148
c1ccc(cc1)CSc1nnc(o1)c1ccncc1,1444229,269.322,,Vitas M Labs,SC Tier 1,STK032731,170,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(C1CC1)Nc1sc2c(c1C(=O)N)CCCC2,1448525,264.343,,Vitas M Labs,SC Tier 1,STK124515,274,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,
COc1cccc(c1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1452942,330.401,,Vitas M Labs,SC Tier 1,STK412673,133,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1cc(ccc1OC)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1452944,360.427,,Vitas M Labs,SC Tier 1,STK259280,1758,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1cc(OC)cc(c1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1452950,360.427,,Vitas M Labs,SC Tier 1,STK355700,254,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Oc1ccc(c(c1)O)c1csc(n1)Nc1cccc(c1)C(=O)O,1457396,328.342,,Vitas M Labs,SC Tier 1,STK014501,177,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1ccc2c(c1)sc(c2Cl)C(=O)N(Cc1ccccc1)C,1464977,345.843,,Vitas M Labs,SC Tier 1,STK056833,670,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
CCOC(=O)c1c(=O)[nH]c2c3c1c1ccccc1c(=O)c3ccc2,1470412,319.311,,Life Chemicals,Tier 1,F1414-1232,215.7,General,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,400
O=C(c1cccs1)Nc1nnc(s1)COc1ccccc1,1472238,317.386,,ChemDiv,Screening Compounds,3388-0641,,DC,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,355
Cc1cc(C)nc(n1)SCC(=O)c1ccc(c(c1)C)F,1477944,290.356,,Vitas M Labs,SC Tier 1,STK913849,106,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Nc1ccc(cc1)c1nn2c(s1)nnc2C,1503405,231.277,,Vitas M Labs,SC Tier 1,STK513466,13483,Allium,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,275
Nc1cc(C)c(c(c1)c1oc2c(n1)ccc(c2)C)O,1532460,254.284,,Vitas M Labs,SC Tier 1,STK220326,3132,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1cccs1)Nc1ccccc1c1nc2ccccc2[nH]c1=O,1536105,347.39,,UORSY,Screening Compounds - Tier 1,PB108641410,101.2,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,249
Cc1ccc(cc1)C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1557065,314.402,,Vitas M Labs,SC Tier 1,STK004365,105,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1ccccc1)Nc1sc2c(c1C(=O)N)CCCC2,1557067,300.375,,Vitas M Labs,SC Tier 1,STK281739,1978,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Cc1ccccc1C(=O)Nc1sc2c(c1C(=O)N)CCCC2,1557073,314.402,,Vitas M Labs,SC Tier 1,STK007957,237,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(Nc1sc2c(c1C(=O)N)CCCC2)CCc1ccccc1,1557075,328.429,,Vitas M Labs,SC Tier 1,STL069586,115,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Clc1ccc(cc1)C(=O)Nc1cccc2c1nccc2,1570822,282.724,,Vitas M Labs,SC Tier 1,STK514444,176,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
O=C(c1ccccc1Cl)Nc1cccc2c1nccc2,1573146,282.724,,Vitas M Labs,SC Tier 1,STL072167,109,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Brc1cccc(c1)Nc1ncc(c(n1)Nc1cccc(c1)Br)F,1574612,438.092,,Vitas M Labs,SC Tier 1,STL368658,222,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Fc1ccc(cc1)Nc1ncc(c(n1)Nc1ccc(cc1)F)F,1698122,316.281,,Vitas M Labs,SC Tier 1,STK699264,105,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
Brc1ccc(o1)C(=O)Nc1ccccc1N1CCCCC1,1716329,349.222,,Vitas M Labs,SC Tier 1,STK259377,530,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
COc1ccc(cc1)NC(=O)c1cn(nc1c1ccc(cc1)Cl)c1ccccc1,1749044,403.861,,UORSY,Screening Compounds - Tier 1,PB28216732,246.9,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,249
COc1ccc(cc1)NC(=O)c1cn(nc1c1ccccc1)c1ccccc1,1753242,369.416,,UORSY,Screening Compounds - Tier 1,PB28216731,102,,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,249
COc1cc(Br)cc2c1oc(c2)C(=O)O,1772854,271.064,,Vitas M Labs,SC Tier 1,STK195773,186,Historical,1,Delivery within 2 weeks,,,100,Supplier Standard Vial (Direct Ship),mg,100,svial,mg,168
