,SMILES,TITLE,TANIMOTO,AVG_TANIMOTO,Version_ID,Parent_ID,Supplier_ID,Compound_ID,CAS_number,Chemical_name,Catalog_ID,Supplier_status,Price_code,Salt_comment,Availability_amount,Availability_units,Supplier_name,Supplier_tier,Price_USD,Amount_mg
10,COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,108360801,1.0,0.13812088791254998,1452944,1452943,42.0,F0161-0047,,,652.0,favorites,General,,209.3,mg,Life Chemicals,1.0,400.0,100.0
11,COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,146100250,1.0,0.13812088791254998,1452944,1452943,7.0,1889-2884,,,9.0,favorites,DC,,40.0,mg,ChemDiv,1.0,1205.0,1000.0
12,COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,150889595,1.0,0.13812088791254998,1452944,1452943,40.0,Z27358591,,,1018.0,favorites,HTS_Collection,,,,Enamine Screening Compounds,1.0,272.0,100.0
13,COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,154804848,1.0,0.13812088791254998,1452944,1452943,104.0,5553171,,"2-[(3,4-dimethoxybenzoyl)amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",994.0,favorites,2,,15.0,mg,ChemBridge,1.0,304.0,100.0
14,COc1ccc(cc1OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,166183551,1.0,0.13812088791254998,1452944,1452943,119.0,STK259280,,,1529.0,favorites,Historical,,1758.0,mg,Vitas M Labs,1.0,233.0,100.0
15,CC1(Cc2c(cn(c(=O)c2C(=O)Nc3ccc(c(c3)Cl)OC)c4ccc(cc4)F)C(=O)C1)C,129249626,0.41414141414141403,0.12746721342669098,32682928,32682927,7.0,L120-0787,,,9.0,favorites,NC,,129.0,mg,ChemDiv,1.0,533.0,100.0
16,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)F)F,140622184,1.0,0.13660239192986998,25153290,25153289,7.0,V012-5998,,,9.0,favorites,DC,,5.0,mg,ChemDiv,1.0,1205.0,1000.0
17,c1ccc(cc1)n2cnc3c2cccc3,166217208,1.0,0.06363108914131599,1202048,1202047,119.0,STK325727,,,1529.0,favorites,Historical,,188.0,mg,Vitas M Labs,1.0,233.0,100.0
18,Cc1cc(cc(c1)F)NC(=O)NCCCCN2CCCC2,149965231,0.506849315068493,0.134861613712592,49656768,49656767,104.0,47226993,,N-(3-fluoro-5-methylphenyl)-N'-(4-pyrrolidin-1-ylbutyl)urea,994.0,favorites,2,,30.0,mg,ChemBridge,1.0,304.0,100.0
19,c1ccc(cc1)c2c(cn(n2)c3ccccc3)C(=O)Nc4ccccc4,100366130,1.0,0.122407278318362,14371658,14371657,7.0,E136-0096,,,9.0,favorites,NC,,61.0,mg,ChemDiv,1.0,533.0,100.0
20,CN1CCN(CC1)c2ccc(cc2)Nc3ccnc4c3ccc(c4)Cl,103553065,0.619718309859155,0.107715886060555,1347353,1347352,48.0,STOCK1S-85809,,7-chloro-N-(4-(4-methylpiperazin-1-yl)phenyl)quinolin-4-amine,83.0,favorites,SC,,300.0,mg,InterBioScreen,1.0,593.0,100.0
21,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br,140616722,1.0,0.135491468414775,6128453,6128452,7.0,V012-0480,,,9.0,favorites,DC,,2.0,mg,ChemDiv,1.0,1205.0,1000.0
22,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3cccc(c3)F)Br,166155096,1.0,0.135491468414775,6128453,6128452,119.0,STK232976,,,1529.0,favorites,Advanced,,201.0,mg,Vitas M Labs,1.0,274.0,100.0
23,c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,100149453,1.0,0.124175038274675,8687115,8687114,7.0,8104-09555,,,9.0,favorites,NC,,84.0,mg,ChemDiv,1.0,533.0,100.0
24,c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,146732518,1.0,0.124175038274675,8687115,8687114,42.0,F2771-0111,,,652.0,favorites,General,,128.4,mg,Life Chemicals,1.0,400.0,100.0
25,c1cc(cc(c1)Cl)CSc2nnc(o2)c3ccncc3,166092489,1.0,0.124175038274675,8687115,8687114,119.0,STK292974,,,1529.0,favorites,Historical,,57.0,mg,Vitas M Labs,1.0,233.0,100.0
26,Cn1c(=O)c-2nc(nn(c2nc1=O)C)c3ccc4c(c3)OCO4,166082627,1.0,0.09553084977741802,742162,742161,119.0,STK112858,,,1529.0,favorites,Advanced,,48.0,mg,Vitas M Labs,1.0,274.0,100.0
27,c1c(cc(c(c1Sc2cc(cc(c2O)Br)Cl)O)Br)Cl,166007818,1.0,0.075369676130795,2741426,2741425,119.0,STK031212,,,1529.0,favorites,Historical,,108.0,mg,Vitas M Labs,1.0,233.0,100.0
28,c1ccc(cc1)Oc2ccccc2C(=O)NCc3ccccc3F,150944076,1.0,0.13645533867523502,18853537,18853536,40.0,Z29857906,,,1018.0,favorites,HTS_Collection,,510.7,mg,Enamine Screening Compounds,1.0,272.0,100.0
29,CC1CNCCN1S(=O)(=O)c2cccc3c2ccnc3,163743086,0.5714285714285711,0.129140816231748,42649546,539696,40.0,Z1491263437,,,1018.0,favorites,HTS_Collection,Cl,,,Enamine Screening Compounds,1.0,272.0,100.0
30,c1cc(oc1)/C=N/c2c(nc(nc2O)N)N,166644918,0.425531914893617,0.062285559947067005,206920600,206920601,119.0,STK784073,,,1529.0,favorites,Historical,,73.0,mg,Vitas M Labs,1.0,233.0,100.0
31,c1cc(cc(c1)Nc2c3c([nH]cn3)nc(n2)N)C(F)(F)F,103864832,1.0,0.089091696713269,13595158,13595157,48.0,STOCK6S-42232,,"N6-(3-(trifluoromethyl)phenyl)-9H-purine-2,6-diamine",83.0,favorites,SC,,192.0,mg,InterBioScreen,1.0,593.0,100.0
32,c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,146603330,1.0,0.139657642885785,2266007,2266006,42.0,F1358-0264,,,652.0,favorites,General,,117.5,mg,Life Chemicals,1.0,400.0,100.0
33,c1ccc(cc1)C(=O)Nc2c(ccs2)C(=O)N,166443821,1.0,0.139657642885785,2266007,2266006,119.0,STK471590,,,1529.0,favorites,Historical,,100.0,mg,Vitas M Labs,1.0,233.0,100.0
34,c1cc2c(cc1C(=O)Nc3c(c4c(s3)CCCC4)C(=O)N)OCO2,166161236,1.0,0.13114398657913198,1178116,1178115,119.0,STK247069,,,1529.0,favorites,Historical,,227.0,mg,Vitas M Labs,1.0,233.0,100.0
35,COc1cc(cc(c1)OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,146088190,1.0,0.133344120303226,1452950,1452949,7.0,1488-0296,,,9.0,favorites,DC,,124.0,mg,ChemDiv,1.0,1205.0,1000.0
36,COc1cc(cc(c1)OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,150889586,1.0,0.133344120303226,1452950,1452949,40.0,Z27358556,,,1018.0,favorites,HTS_Collection,,94.1,mg,Enamine Screening Compounds,1.0,272.0,100.0
37,COc1cc(cc(c1)OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,154826254,1.0,0.133344120303226,1452950,1452949,104.0,5695926,,"2-[(3,5-dimethoxybenzoyl)amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",994.0,favorites,2,,30.0,mg,ChemBridge,1.0,304.0,100.0
38,COc1cc(cc(c1)OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,157441647,1.0,0.133344120303226,1452950,1452949,42.0,F0098-0101,,,652.0,favorites,General,,201.2,mg,Life Chemicals,1.0,400.0,100.0
39,COc1cc(cc(c1)OC)C(=O)Nc2c(c3c(s2)CCCC3)C(=O)N,166183558,1.0,0.133344120303226,1452950,1452949,119.0,STK355700,,,1529.0,favorites,Historical,,254.0,mg,Vitas M Labs,1.0,233.0,100.0
40,c1ccc2c(c1)CCC(=O)N2,127374733,1.0,0.144002891139775,506221,506220,40.0,Z85917566,,,1018.0,favorites,Advanced_Collection,,50321.1,mg,Enamine Screening Compounds,1.0,408.0,100.0
41,CC1CN(CC(O1)C)CC(=O)Nc2ccc(cc2)N3CCOCC3,151045860,0.426966292134831,0.122115351855618,3238292,3238291,40.0,Z46163705,,,1018.0,favorites,HTS_Collection,,104.3,mg,Enamine Screening Compounds,1.0,272.0,100.0
42,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)Cl)F,150923289,1.0,0.131408781099964,35679514,35679513,40.0,Z28653510,,,1018.0,favorites,HTS_Collection,,300.0,mg,Enamine Screening Compounds,1.0,272.0,100.0
43,c1ccc(cc1)c2ccccc2NC(=O)Cc3c[nH]c4c3cccc4,137617998,0.5692307692307691,0.115101149503617,3328551,3328550,40.0,Z26546044,,,1018.0,favorites,HTS_Collection,,418.3,mg,Enamine Screening Compounds,1.0,272.0,100.0
44,c1ccc(c(c1)OCCSc2[nH]c3cc(ccc3n2)Br)F,146188834,0.306122448979592,0.11297068658158099,1236271,1236270,7.0,4327-3412,,,9.0,favorites,DC,,81.0,mg,ChemDiv,1.0,1205.0,1000.0
45,CCOc1cc2c(cc1/C=C\3/C(=O)NC(=O)S3)OCO2,165929946,1.0,0.125503807856291,45945033,45945032,119.0,STK155146,,,1529.0,favorites,Advanced,,147.0,mg,Vitas M Labs,1.0,274.0,100.0
46,c1cc(cc(c1)Br)CNC(=O)c2ccc[nH]c2=O,166678238,0.457831325301205,0.12828201404214198,31538439,31538438,119.0,STK987766,,,1529.0,favorites,Advanced,,71.0,mg,Vitas M Labs,1.0,274.0,100.0
47,c1ccc2c(c1)/C(=C/c3ccc(cc3)O)/C(=O)N2,150020820,1.0,0.12290629270872999,27210622,27210621,7.0,K939-0015,,,9.0,favorites,DC,,2.0,mg,ChemDiv,1.0,1205.0,1000.0
48,c1ccc2c(c1)/C(=C/c3ccc(cc3)O)/C(=O)N2,166797093,1.0,0.12290629270872999,27210622,27210621,119.0,STK946564,,,1529.0,favorites,Historical,,5.0,mg,Vitas M Labs,1.0,233.0,100.0
49,Cc1c(oc2c1c(ncn2)N)C,154790133,1.0,0.083084266498732,1223257,1223256,104.0,5404305,,"5,6-dimethylfuro[2,3-d]pyrimidin-4-amine",994.0,favorites,1,,50.0,mg,ChemBridge,1.0,217.0,100.0
50,Cc1c(oc2c1c(ncn2)N)C,163658015,1.0,0.083084266498732,1223257,1223256,40.0,Z228474562,,,1018.0,favorites,Advanced_Collection,,8227.4,mg,Enamine Screening Compounds,1.0,408.0,100.0
51,Cc1c(oc2c1c(ncn2)N)C,166175287,1.0,0.083084266498732,1223257,1223256,119.0,STK281592,,,1529.0,favorites,Allium,,907.0,mg,Vitas M Labs,1.0,326.0,100.0
52,COc1ccc(cc1)c2csc3c2c(ncn3)NCCCN4CCN(CC4)C5CCCCC5,100524960,0.35,0.107471227545777,17477152,17477151,7.0,G540-0804,,,9.0,favorites,DC,,352.0,mg,ChemDiv,1.0,1205.0,1000.0
53,c1cc2c(cc1Nc3c4c([nH]cn4)nc(n3)Nc5ccc6c(c5)OCCO6)OCCO2,103864999,1.0,0.095273179251487,13595428,13595427,48.0,STOCK6S-42402,,"N2,N6-bis(2,3-dihydrobenzo[b][1,4]dioxin-6-yl)-9H-purine-2,6-diamine",83.0,favorites,SC,,300.0,mg,InterBioScreen,1.0,593.0,100.0
54,c1ccc(cc1)CC2CCN(CC2)C(=O)c3ccccc3Cl,154783818,1.0,0.143885764685559,2066225,2066224,104.0,5347582,,4-benzyl-1-(2-chlorobenzoyl)piperidine,994.0,favorites,2,,25.0,mg,ChemBridge,1.0,304.0,100.0
55,c1ccc(cc1)CC2CCN(CC2)C(=O)c3ccccc3Cl,165832541,1.0,0.143885764685559,2066225,2066224,119.0,STK034825,,,1529.0,favorites,Historical,,216.0,mg,Vitas M Labs,1.0,233.0,100.0
56,c1ccc(c(c1)CC(=O)Nc2c(ccs2)C(=O)N)Cl,146603523,1.0,0.146054411723089,2266103,2266102,42.0,F1358-1003,,,652.0,favorites,General,,286.9,mg,Life Chemicals,1.0,400.0,100.0
57,c1ccc(c(c1)CC(=O)Nc2c(ccs2)C(=O)N)Cl,166436624,1.0,0.146054411723089,2266103,2266102,119.0,STK464275,,,1529.0,favorites,Historical,,109.0,mg,Vitas M Labs,1.0,233.0,100.0
58,COc1cc(c(cc1OC)F)C(=O)O,163660137,1.0,0.118433279284838,32447531,32447530,40.0,Z1416200910,,,1018.0,favorites,Advanced_Collection,,,,Enamine Screening Compounds,1.0,408.0,100.0
59,c1cc(cc(c1)F)CSc2nnc(s2)NC(=O)c3ccc(cc3)F,108370472,1.0,0.134425585487884,5428828,5428827,42.0,F0417-1984,,,652.0,favorites,General,,113.1,mg,Life Chemicals,1.0,400.0,100.0
60,Cn1c2ccccc2nc1Nc3cccc(c3)C(F)(F)F,155014911,0.444444444444444,0.10288138297256,2236128,2236127,104.0,7765990,,1-methyl-N-[3-(trifluoromethyl)phenyl]-1H-benzimidazol-2-amine,994.0,favorites,2,,30.0,mg,ChemBridge,1.0,304.0,100.0
61,COc1ccc(cc1)C(=O)Nc2nnc(s2)Cc3c[nH]c4c3cccc4,103709970,1.0,0.12873405467083698,1456065,1456064,48.0,STOCK4S-09908,,"N-(5-((1H-indol-3-yl)methyl)-1,3,4-thiadiazol-2-yl)-4-methoxybenzamide",83.0,favorites,SCD,,300.0,mg,InterBioScreen,1.0,296.0,100.0
62,COc1ccc(cc1)C(=O)Nc2nnc(s2)Cc3c[nH]c4c3cccc4,146291936,1.0,0.12873405467083698,1456065,1456064,7.0,8008-8659,,,9.0,favorites,DC,,9.0,mg,ChemDiv,1.0,1205.0,1000.0
63,COc1ccc(cc1)C(=O)Nc2nnc(s2)Cc3c[nH]c4c3cccc4,166613939,1.0,0.12873405467083698,1456065,1456064,119.0,STK758751,,,1529.0,favorites,Historical,,63.0,mg,Vitas M Labs,1.0,233.0,100.0
64,CC(=O)Nc1nc2ccccc2n1CCCN(C)C,103533447,0.512820512820513,0.131412872266003,2568764,2568763,48.0,STOCK1S-50327,,N-(1-(3-(dimethylamino)propyl)-1H-benzo[d]imidazol-2-yl)acetamide,83.0,favorites,SC,,300.0,mg,InterBioScreen,1.0,593.0,100.0
65,CC(=O)Nc1nc2ccccc2n1CCCN(C)C,165809409,0.512820512820513,0.131412872266003,2568764,2568763,119.0,STK003538,,,1529.0,favorites,Historical,,167.0,mg,Vitas M Labs,1.0,233.0,100.0
66,c1ccc(cc1)c2ccc3c(c(sc3n2)C(=O)N)N,188941715,1.0,0.12018448786766,824388,824387,48.0,STOCK7S-65246,,"3-amino-6-phenylthieno[2,3-b]pyridine-2-carboxamide",83.0,favorites,SC,,,,InterBioScreen,1.0,593.0,100.0
67,Cc1ccc(cc1)Nc2ccccc2C(=O)O,163664777,0.6,0.11096270715456402,2871203,2871202,40.0,Z169512022,,,1018.0,favorites,Advanced_Collection,,50276.5,mg,Enamine Screening Compounds,1.0,408.0,100.0
68,CS(=O)(=O)c1ccc(cc1)CNC(=O)c2cccc(n2)OCC(F)(F)F,177256011,0.545454545454545,0.15880127574914002,177256010,177256009,40.0,Z1246005832,,,1018.0,favorites,HTS_Collection,,78.7,mg,Enamine Screening Compounds,1.0,272.0,100.0
69,COc1cc(cc(c1O)I)/C=C/2\C(=O)NC(=O)S2,166210911,1.0,0.12248132279601101,45945887,45945886,119.0,STK244885,,,1529.0,favorites,Advanced,,170.0,mg,Vitas M Labs,1.0,274.0,100.0
70,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,157441412,1.0,0.078441431064623,532754,532753,42.0,F0001-2388,,,652.0,favorites,General,,5094.5,mg,Life Chemicals,1.0,400.0,100.0
71,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O,166522960,1.0,0.078441431064623,532754,532753,119.0,STK801619,,,1529.0,favorites,Historical,,1015.0,mg,Vitas M Labs,1.0,233.0,100.0
72,c1cc(c(cc1c2csc(n2)CN3CCOCC3)O)O,163784214,0.44705882352941206,0.11390411080210099,76018513,76018512,40.0,Z1171501282,,,1018.0,favorites,HTS_Collection,,,,Enamine Screening Compounds,1.0,272.0,100.0
73,c1ccc(cc1)CN2CCN(CC2)C(=O)c3ccc4cc[nH]c4c3,103846224,1.0,0.122066905525314,4760368,4760367,48.0,STOCK6S-23193,,(4-benzylpiperazin-1-yl)(1H-indol-6-yl)methanone,83.0,favorites,SCD,,300.0,mg,InterBioScreen,1.0,296.0,100.0
74,c1ccc(cc1)CN2CCN(CC2)C(=O)c3ccc4cc[nH]c4c3,166385923,1.0,0.122066905525314,4760368,4760367,119.0,STK622156,,,1529.0,favorites,Historical,,62.0,mg,Vitas M Labs,1.0,233.0,100.0
75,Cc1cccnc1Nc2nc(cs2)c3ccc(c(c3)OC)OC,100076762,0.444444444444444,0.114698743385117,1508956,1508955,7.0,7100-0641,,,9.0,favorites,NC,,10.0,mg,ChemDiv,1.0,533.0,100.0
76,Cc1cccnc1Nc2nc(cs2)c3ccc(c(c3)OC)OC,165944646,0.444444444444444,0.114698743385117,1508956,1508955,119.0,STK135104,,,1529.0,favorites,Historical,,260.0,mg,Vitas M Labs,1.0,233.0,100.0
77,c1ccc2c(c1)CCN2C(=O)Cc3cccc(c3)C(F)(F)F,137719271,0.475,0.119058348131745,3670059,3670058,40.0,Z30624575,,,1018.0,favorites,Advanced_Collection,,498.5,mg,Enamine Screening Compounds,1.0,408.0,100.0
78,c1ccc2c(c1)c(=O)n(c(n2)S)c3ccc(cc3)c4nccs4,151206651,0.378048780487805,0.091114106938239,44516841,44516840,40.0,Z90291763,,,1018.0,favorites,HTS_Collection,,127.9,mg,Enamine Screening Compounds,1.0,272.0,100.0
79,c1ccc(cc1)c2cc(n[nH]2)C(=O)NC3CC3,151305378,1.0,0.118062738823764,31855157,31855156,40.0,Z116525674,,,1018.0,favorites,HTS_Collection,,136.9,mg,Enamine Screening Compounds,1.0,272.0,100.0
80,Cc1ccc(cc1)CNC(=O)c2ccc3cnn(c3c2)Cc4cccc(c4)Cl,129210643,0.3928571428571429,0.116682825755575,32626200,32626199,7.0,G339-1794,,,9.0,favorites,DC,,33.0,mg,ChemDiv,1.0,1205.0,1000.0
81,c1ccc2c(c1)cc(o2)C(=O)c3cc4ccccc4o3,138329080,1.0,0.11997879771181802,6263924,6263923,40.0,Z232333564,,,1018.0,favorites,Advanced_Collection,,300.2,mg,Enamine Screening Compounds,1.0,408.0,100.0
82,c1ccc(cc1)c2cc(n[nH]2)C(=O)NCc3ccc(cc3)F,163771853,1.0,0.13597508977669098,13489929,13489928,40.0,Z116562216,,,1018.0,favorites,HTS_Collection,,672.8,mg,Enamine Screening Compounds,1.0,272.0,100.0
83,c1cc(cnc1)C(=O)NCc2ccc(cc2)n3ccnc3,150042226,0.47560975609756106,0.11290803623944,32959359,32959358,7.0,P060-0859,,,9.0,favorites,DC,,2.0,mg,ChemDiv,1.0,1205.0,1000.0
84,c1cc(ccc1c2ncco2)NC(=O)C3CCCN3,163787817,0.5125,0.11610993535266301,53725656,53725655,40.0,Z1622899786,,,1018.0,favorites,HTS_Collection,Cl,217.0,mg,Enamine Screening Compounds,1.0,272.0,100.0
85,c1ccc(cc1)c2c3ccccc3[nH]n2,139211647,1.0,0.059194113367002,2711684,2711683,7.0,K780-0827,,,9.0,favorites,DC,,0.0,mg,ChemDiv,1.0,1205.0,1000.0
86,CCOc1ccc(cc1)S(=O)(=O)N2CCN(Cc3c2cccc3)C,151969514,0.5135135135135129,0.134543272988546,50552687,48041336,40.0,Z1120941676,,,1018.0,favorites,HTS_Collection,,107.8,mg,Enamine Screening Compounds,1.0,272.0,100.0
87,Cc1ccc2c(c1)sc(n2)NC(=O)Cc3ccccc3OC,129299118,1.0,0.140532121765677,1412934,1412933,7.0,Y030-5383,,,9.0,favorites,DC,,24.0,mg,ChemDiv,1.0,1205.0,1000.0
88,Cc1ccc2c(c1)sc(n2)NC(=O)Cc3ccccc3OC,154926588,1.0,0.140532121765677,1412934,1412933,104.0,6602994,,"2-(2-methoxyphenyl)-N-(6-methyl-1,3-benzothiazol-2-yl)acetamide",994.0,favorites,2,,25.0,mg,ChemBridge,1.0,304.0,100.0
89,Cc1ccc2c(c1)sc(n2)NC(=O)Cc3ccccc3OC,166065113,1.0,0.140532121765677,1412934,1412933,119.0,STK088237,,,1529.0,favorites,Historical,,266.0,mg,Vitas M Labs,1.0,233.0,100.0
90,CN(Cc1ccccc1)C(=O)c2c(c3ccc(cc3s2)OC)Cl,155237697,1.0,0.153548932221949,1464977,1464976,104.0,7294148,,N-benzyl-3-chloro-6-methoxy-N-methyl-1-benzothiophene-2-carboxamide,994.0,favorites,1,,50.0,mg,ChemBridge,1.0,217.0,100.0
91,CN(Cc1ccccc1)C(=O)c2c(c3ccc(cc3s2)OC)Cl,165986650,1.0,0.153548932221949,1464977,1464976,119.0,STK056833,,,1529.0,favorites,Historical,,670.0,mg,Vitas M Labs,1.0,233.0,100.0
92,c1c(cnc2c1c(c[nH]2)c3csc(n3)N)Br,171918241,0.5,0.077912983482575,84836180,84836179,40.0,Z2526439726,,,1018.0,favorites,HTS_Collection,,50030.0,mg,Enamine Screening Compounds,1.0,272.0,100.0
93,COc1cc2c(cc1OC)ncnc2Nc3ccc(cc3F)Br,166885761,1.0,0.10206692420479599,32259063,32259062,119.0,STL086041,,,1529.0,favorites,Advanced,,85.0,mg,Vitas M Labs,1.0,274.0,100.0
94,c1ccc2c(c1)c(nnc2Nc3ccc(cc3)OC(F)(F)Cl)c4ccc(cc4)C(=O)N,146303592,1.0,0.117724097527384,6775995,6775994,7.0,8012-0399,,,9.0,favorites,DC,,28.0,mg,ChemDiv,1.0,1205.0,1000.0
95,c1ccc2c(c1)c(nnc2Nc3ccc(cc3)OC(F)(F)Cl)c4ccc(cc4)C(=O)N,166620818,1.0,0.117724097527384,6775995,6775994,119.0,STK765418,,,1529.0,favorites,Historical,,61.0,mg,Vitas M Labs,1.0,233.0,100.0
96,Cn1c2c(c(=O)n(c1=O)Cc3ccccc3)n(c(n2)SCCO)Cc4ccccc4,103520602,1.0,0.103999729175533,1216560,1216559,48.0,STOCK1S-24028,,"1,7-dibenzyl-8-((2-hydroxyethyl)thio)-3-methyl-1H-purine-2,6(3H,7H)-dione",83.0,favorites,SCD,,300.0,mg,InterBioScreen,1.0,296.0,100.0
97,Cn1c2c(c(=O)n(c1=O)Cc3ccccc3)n(c(n2)SCCO)Cc4ccccc4,108367222,1.0,0.103999729175533,1216560,1216559,42.0,F0372-0068,,,652.0,favorites,General,,81.4,mg,Life Chemicals,1.0,400.0,100.0
98,Cn1c2c(c(=O)n(c1=O)Cc3ccccc3)n(c(n2)SCCO)Cc4ccccc4,166531498,1.0,0.103999729175533,1216560,1216559,119.0,STK834375,,,1529.0,favorites,Historical,,67.0,mg,Vitas M Labs,1.0,233.0,100.0
99,c1ccc(cc1)SCCNC(=O)c2cc3ccccc3s2,151217483,0.446153846153846,0.12207388258631699,19682191,19682190,40.0,Z91150241,,,1018.0,favorites,HTS_Collection,,351.7,mg,Enamine Screening Compounds,1.0,272.0,100.0
100,c1[nH]c2c(=O)[nH]c(nc2n1)NCC(=O)O,112308400,0.5625,0.066200606370675,4805024,4805023,48.0,STOCK1N-38423,,"2-((6-oxo-6,7-dihydro-1H-purin-2-yl)amino)acetic acid",83.0,favorites,RDNC,,125.0,mg,InterBioScreen,1.0,1425.0,100.0
101,Cc1ccc2c(n/c(=N\c3[nH]c(cc(=O)n3)CSc4nnnn4c5ccccc5)/[nH]c2c1)C,166768915,1.0,0.09710622145308301,46535986,46535985,119.0,STL043931,,,1529.0,favorites,Historical,,55.0,mg,Vitas M Labs,1.0,233.0,100.0
102,c1cc2c(cc1Br)c(c[nH]2)/C=C\3/C(=O)NC(=O)N3,103708442,1.0,0.121074300175137,26328012,26328011,48.0,STOCK4S-07883,,"(Z)-5-((5-bromo-1H-indol-3-yl)methylene)imidazolidine-2,4-dione",83.0,favorites,SC,,300.0,mg,InterBioScreen,1.0,593.0,100.0
103,c1cc2c(cc1Br)c(c[nH]2)/C=C\3/C(=O)NC(=O)N3,166020969,1.0,0.121074300175137,26328012,26328011,119.0,STK097510,,,1529.0,favorites,Advanced,,21.0,mg,Vitas M Labs,1.0,274.0,100.0
104,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,103707572,1.0,0.11692727482137101,1444229,1444228,48.0,STOCK4S-06701,,"2-(benzylthio)-5-(pyridin-4-yl)-1,3,4-oxadiazole",83.0,favorites,SCD,,300.0,mg,InterBioScreen,1.0,296.0,100.0
105,c1ccc(cc1)CSc2nnc(o2)c3ccncc3,137569072,1.0,0.11692727482137101,1444229,1444228,40.0,Z21488735,,,1018.0,favorites,HTS_Collection,,38.1,mg,Enamine Screening Compounds,1.0,272.0,100.0
